Marca temporal;Sexo;Edad;¿En qué barrio vivís?;¿Con qué frecuencia visitás el restaurante?;¿Cuál es el motivo principal de tus visitas?;¿Qué aspectos te motivan a elegir el restaurante?;¿Cómo definirías al restaurante?;¿Cómo calificarías la calidad de nuestros platos?;¿Qué opinás sobre nuestro servicio al cliente?;¿Qué opinás sobre la atmósfera y el diseño interior del lugar?;¿Qué aspectos de la ambientación sugerís mejorar?;De lo que hayas probado, ¿cuáles son tus preferidos del menú?;¿Hay algún plato o bebida que te gustaría que agreguemos al menú?;¿Experimentaste algún problema o inconveniente durante tus visitas al restaurante? Especificar si corresponde;¿Estarías interesado en eventos especiales organizados por nosotros? Ejemplo: cenas temáticas, catas de vino, noche de música en vivo, etc.;¿Tenés alguna recomendación o sugerencia para mejorar el restaurante?;;Puntuación
8/4/2023 11:50:34;Mujer;18 a 25 años;Carrasco ;Una vez al mes o más;Comidas familiares;Variedad y calidad del menú, El ambiente y su calidez;Familiar, Bar que te atienden como restaurante;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Iluminación;las pastas y carnes ;  . ;ninguno ;Si, me gustan este tipo de eventos;;;
8/4/2023 13:05:31;Mujer;26 a 35 años;Shangrila ;Ocasionalmente;Comidas familiares;Variedad y calidad del menú, Ubicación conveniente, Recomendación de conocidos o reseñas positivas;Familiar, Restaurante, Parrillada;Excelente;Bueno: en general estoy satisfecho con el servicio;Me encanta, es un ambiente acogedor y agradable;Comodidad del mobiliario;Parrilla siempre ;No;No;No, no estoy interesado en este tipo de actividades;No;;
8/4/2023 13:10:49;Hombre;56 a 65 años;Carrasco;Una vez al mes o más;Comidas familiares;Variedad y calidad del menú, El ambiente y su calidez, Ubicación conveniente, La decoración del lugar;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;No me importa mucho, lo importante es la comida;Ruido ambiente;Pesca;No;No;No, no estoy interesado en este tipo de actividades;;;
8/4/2023 13:43:55;Mujer;26 a 35 años;Buceo;Varias veces al año;Celebraciones;Tradición e historia del lugar;Bar de siempre;Bueno;Bueno: en general estoy satisfecho con el servicio;Es agradable pero podría mejorarse en ciertos aspectos;Demasiadas pantallas ;Paella;Más opciones vegetarianas y comida de paso (sandwiches, bocatas, tacos) ;Ninguno ;No, no estoy interesado en este tipo de actividades;Las que están en las preguntas ;;
8/4/2023 13:47:29;Mujer;36 a 45 años;Solymar ;Una vez al mes o más;Comidas familiares;Variedad y calidad del menú;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Es agradable pero podría mejorarse en ciertos aspectos;Ruido ambiente;Canelones de verduras y el cerdo al horno ;Arroz con leche y sopa ;;No, no estoy interesado en este tipo de actividades;Los baños ;;
8/4/2023 15:03:19;Mujer;46 a 55 años;La Blanqueada ;Varias veces al año;Tiempo a solas conmigo mismo;Tradición e historia del lugar;Bar que te atienden como restaurante;Bueno;Bueno: en general estoy satisfecho con el servicio;Me encanta, es un ambiente acogedor y agradable;Olores;Los postres;Bebidas sin gas;No;Si, me gustan este tipo de eventos;;;
8/4/2023 16:08:30;Mujer;46 a 55 años;pinar;Ocasionalmente;Reuniones con amigos;Variedad y calidad del menú;Restaurante;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Olores;todos;ninguno;;Si, me gustan este tipo de eventos;;;
8/4/2023 16:36:23;Hombre;26 a 35 años;Carrasco ;Varias veces al año;Comidas familiares;Variedad y calidad del menú;Bar de siempre;Bueno;Bueno: en general estoy satisfecho con el servicio;Es agradable pero podría mejorarse en ciertos aspectos;;Paella ;;No;Si, me gustan este tipo de eventos;;;
8/4/2023 18:03:29;Mujer;56 a 65 años;Parque batlle ;Varias veces al año;Reuniones con amigos;El ambiente y su calidez;Familiar;Excelente;Bueno: en general estoy satisfecho con el servicio;Me encanta, es un ambiente acogedor y agradable;Ruido ambiente;Todos;No;No;No, no estoy interesado en este tipo de actividades;No;;
8/4/2023 18:51:06;Hombre;26 a 35 años;Manga;Varias veces al año;Cenas románticas o especiales en pareja;Variedad y calidad del menú, El ambiente y su calidez, La decoración del lugar;Familiar, Restaurante;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Calefacción;Pizza,milanesas y carne ;;;Si, me gustan este tipo de eventos;;;
8/4/2023 19:27:03;Mujer;46 a 55 años;Carrasco;Ocasionalmente;Tiempo a solas conmigo mismo;Ubicación conveniente;Bar de siempre;Bueno;Bueno: en general estoy satisfecho con el servicio;Me encanta, es un ambiente acogedor y agradable;Ruido ambiente;Pasta;No;No;No, no estoy interesado en este tipo de actividades;Me gusta todo;;
